id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
36664626,Rental unit in Boston · 2 bedrooms · 2 beds · 1 bath,154342968,Sarah,,South Boston Waterfront,42.35031,-71.04704,Entire home/apt,299,91,2,2019-08-27,0.04,1,0,0,
36687285,Condo in Boston · ★5.0 · 2 bedrooms · 3 beds · 1.5 baths,463127,Janice,,South End,42.33735,-71.07565,Entire home/apt,200,91,3,2019-08-14,0.06,1,0,0,
36733785,Condo in Boston · 1 bedroom · 1 bed · 1 private bath,15943555,Monya,,East Boston,42.38002,-71.04008,Private room,120,1,1,2019-08-11,0.02,4,0,0,STR-387383
36766020,Home in Boston · 1 bedroom · 1 bed · 2 shared baths,251933716,Merve,,Brighton,42.35562,-71.16375,Private room,79,91,2,2019-08-11,0.04,2,0,0,
36766327,Condo in Boston · ★4.84 · 2 bedrooms · 3 beds · 1 bath,44686100,Vidal,,East Boston,42.36775,-71.03712,Entire home/apt,168,2,225,2023-09-10,4.44,1,250,66,STR-401163
36829501,Condo in Boston · Studio · 1 bed · 1 bath,38997,Michelle,,Fenway,42.34591,-71.09201,Entire home/apt,140,29,0,,,11,152,0,
36977405,Guest suite in Boston · ★4.90 · 1 bedroom · 1 bed · 1 private bath,29218948,Aaron & Catherine,,Dorchester,42.31583,-71.06822,Private room,131,1,143,2023-09-04,2.83,3,155,40,STR-445535
37021350,Condo in Boston · ★4.88 · 1 bedroom · 1 bed · 1 shared bath,2707695,Roman,,Dorchester,42.3138,-71.05331,Private room,70,29,17,2022-09-04,0.34,3,90,0,STR-408019
37023405,Home in Boston · ★4.27 · 1 bedroom · 2 beds · 1 bath,105620455,SleepAfloat,,North End,42.36255,-71.05082,Entire home/apt,187,1,41,2023-06-13,1.42,9,24,6,STR-446888
37068313,Rental unit in Boston · 1 bedroom · 1 bed · 1 bath,107434423,Blueground,,South Boston,42.34114,-71.04959,Entire home/apt,194,32,2,2022-02-05,0.08,330,338,0,
37092569,Home in Boston · ★4.87 · 2 bedrooms · 2 beds · 1.5 baths,266009,Joanie,,Roxbury,42.32469,-71.08392,Entire home/apt,89,21,24,2022-11-18,0.48,1,0,1,STR-463246
37145151,Condo in East Boston · ★5.0 · 1 bedroom · 1 bed · 1 bath,63009899,Joseph,,East Boston,42.36843,-71.03664,Entire home/apt,200,5,18,2023-05-20,0.36,1,0,8,STR-463272
37152036,Rental unit in Boston · ★4.42 · 1 bedroom · 1 bed · 0 baths,224829568,Sonder (Boston),,Beacon Hill,42.35867,-71.0651,Entire home/apt,496,2,99,2023-08-19,2.00,19,349,39,STR-918313
37253472,Rental unit in Boston · ★4.50 · Studio · 1 bed · 1 bath,224829568,Sonder (Boston),,Beacon Hill,42.36075,-71.06364,Entire home/apt,380,2,131,2023-08-31,2.87,19,319,26,STR-918313
37296051,Rental unit in Boston · ★4.80 · 1 bedroom · 1 bed · 1 bath,280778187,Danielle,,Back Bay,42.34322,-71.084,Entire home/apt,150,91,5,2019-09-29,0.10,1,0,0,
37310884,Rental unit in Boston · 1 bedroom · 1 bed · 1 bath,107434423,Blueground,,West End,42.364968,-71.06887,Entire home/apt,227,32,0,,,330,365,0,
37367776,Bed and breakfast in Boston · ★4.60 · 1 bedroom · 2 beds · 1 shared bath,270846829,John And Kay,,South Boston,42.33692,-71.04489,Private room,175,3,86,2023-09-04,1.75,3,149,28,STR-416649
37386681,Rental unit in Boston · ★4.73 · 1 bedroom · 2 beds · 1 bath,184906834,Janice,,Mission Hill,42.33312,-71.10272,Entire home/apt,210,3,73,2023-08-26,1.49,2,0,28,STR-489650
37461678,Home in Boston · ★4.88 · 1 bedroom · 1 bed · 1 private bath,82861960,Lelia,,Roslindale,42.27507,-71.13524,Private room,50,29,58,2023-03-31,1.16,1,135,2,STR446549
37583345,Condo in Boston · 2 bedrooms · 4 beds · 2 baths,41414501,Robert,,South Boston Waterfront,42.33817,-71.04462,Entire home/apt,155,91,1,2019-09-14,0.02,1,0,0,
37589402,Home in Boston · ★4.90 · 1 bedroom · 1 bed · 1 private bath,8958031,Simon,,East Boston,42.36583,-71.03089,Private room,60,29,10,2020-03-06,0.20,2,0,0,STR-408998
37630538,Condo in Boston · ★4.80 · 1 bedroom · 2 beds · 1 bath,40508782,Rebecca,,Back Bay,42.35462,-71.07637,Entire home/apt,349,3,102,2023-09-05,2.06,1,171,23,STR-414144
37655502,Condo in Boston · 2 bedrooms · 2 beds · 2.5 baths,284535883,John,,South Boston,42.33554,-71.05174,Entire home/apt,400,1,0,,,1,0,0,STR-418922
37676016,Home in Boston · 3 bedrooms · 3 beds · 1.5 baths,119019,Hermina,,Dorchester,42.298714,-71.059547,Entire home/apt,450,1,0,,,4,271,0,STR-457920
37709158,Rental unit in Boston · Studio · 1 bed · 1 bath,107434423,Blueground,,Back Bay,42.34317,-71.08323,Entire home/apt,131,32,1,2019-10-31,0.02,330,136,0,
37709576,Rental unit in Boston · ★4.87 · 1 bedroom · 1 bed · 1 bath,697401,Nick,,North End,42.36575,-71.05544,Entire home/apt,150,35,15,2023-08-04,0.33,2,128,4,
37718326,Condo in Boston · 2 bedrooms · 3 beds · 3 baths,275833371,Karl,,Downtown,42.35473,-71.0622,Entire home/apt,300,91,0,,,2,365,0,
37748817,Rental unit in Boston · 1 bedroom · 1 bed · 1 bath,200455160,Mo,,Brighton,42.34274,-71.15441,Private room,90,91,0,,,5,0,0,
37749165,Condo in Boston · 2 bedrooms · 3 beds · 3 baths,275833371,Karl,,Downtown,42.35535,-71.06257,Entire home/apt,300,91,0,,,2,358,0,
37768013,Condo in Boston · ★4.96 · 1 bedroom · 1 bed · 2 baths,12982278,Benny,,Roxbury,42.32523,-71.08734,Private room,50,29,27,2022-09-03,0.54,1,0,0,STR-414006
37823144,Rental unit in Boston · ★4.63 · 1 bedroom · 1 bed · 1 bath,233411332,Brittany,,Jamaica Plain,42.31665,-71.0999,Entire home/apt,158,1,112,2023-09-04,2.35,2,344,48,STR-414141
37834744,Rental unit in Boston · 1 bedroom · 1 bed · 1 bath,16865734,Kyle (And Cathy),,South Boston Waterfront,42.34387,-71.05602,Entire home/apt,155,91,0,,,1,0,0,
37889446,Rental unit in Boston · ★4.14 · 1 bedroom · 1 bed · 1 bath,285344759,Bv,,South End,42.34725,-71.06884,Entire home/apt,173,3,78,2023-08-23,1.58,34,12,17,LB-101724
37912471,Home in Boston · 3 bedrooms · 4 beds · 2.5 baths,27180387,Jen,,Charlestown,42.37845,-71.0635,Entire home/apt,900,91,0,,,1,0,0,STR-407363
37968399,Rental unit in Boston · ★4.75 · 1 bedroom · 1 bed · 1 shared bath,272001812,Antonio,,Dorchester,42.31178,-71.06242,Private room,113,1,84,2023-06-18,1.70,4,133,36,STR-476187
37968480,Rental unit in Boston · ★4.76 · 1 bedroom · 1 bed · 1 shared bath,272001812,Antonio,,Dorchester,42.3129,-71.06285,Private room,113,1,58,2023-04-19,1.18,4,135,15,STR-476187
38018931,Rental unit in Boston · ★4.58 · 1 bedroom · 1 bed · 0 baths,224829568,Sonder (Boston),,Beacon Hill,42.36069,-71.06323,Entire home/apt,403,2,66,2023-08-24,1.37,19,352,14,STR-446104
38106963,Rental unit in Boston · ★4.60 · 1 bedroom · 1 bed · 1 bath,212359760,Evonify,,Back Bay,42.34409,-71.08295,Entire home/apt,399,29,10,2020-03-15,0.21,72,0,0,Exempt: This listing is a unit used for furnished institutional or business stays
38127199,Bed and breakfast in Boston · ★4.68 · 1 bedroom · 1 bed · 1 shared bath,270846829,John And Kay,,South Boston,42.33631,-71.04293,Private room,200,2,66,2023-09-02,1.34,3,162,18,STR-416649
38132369,Townhouse in Boston · 1 bedroom · 1 bed · 2 shared baths,197583948,Sada,,Roxbury,42.32016,-71.08191,Shared room,27,91,2,2019-09-29,0.04,1,0,0,
38134488,Rental unit in Boston · ★4.81 · Studio · 1 bed · 1 bath,184906834,Janice,,Mission Hill,42.33312,-71.10272,Entire home/apt,178,3,182,2023-09-06,3.77,2,58,39,STR-489650
38148436,Rental unit in Boston · ★4.67 · 1 bedroom · 1 bed · 2 shared baths,26704689,Mac,,South Boston,42.33431,-71.05429,Private room,40,91,3,2021-05-08,0.06,3,90,0,
38164617,Rental unit in Boston · 6 bedrooms · 1 bed · 2 shared baths,26704689,Mac,,South Boston,42.33605,-71.05349,Private room,50,91,1,2019-10-16,0.02,3,90,0,
38168575,Rental unit in Boston · ★4.44 · Studio · 1 bed · 1 bath,212359760,Evonify,,Back Bay,42.34373,-71.08324,Entire home/apt,299,29,18,2020-03-23,0.37,72,0,0,Exempt: This listing is a unit used for furnished institutional or business stays
38178173,Rental unit in Boston · Studio · 1 bed · 1 bath,107434423,Blueground,,Back Bay,42.34317,-71.08323,Entire home/apt,155,32,1,2020-06-28,0.03,330,266,0,
